,date,demand
0,2015-01-01,99635.03
1,2015-01-02,129606.00999999994
2,2015-01-03,142300.53999999998
3,2015-01-04,104330.715
4,2015-01-05,118132.19999999994
5,2015-01-06,130672.48499999994
6,2015-01-07,153514.82
7,2015-01-08,142015.65500000006
8,2015-01-09,121801.15499999998
9,2015-01-10,103043.66000000005
10,2015-01-11,99865.755
11,2015-01-12,131261.12500000006
12,2015-01-13,126527.35999999994
13,2015-01-14,119741.62
14,2015-01-15,118411.21999999994
15,2015-01-16,116690.76499999994
16,2015-01-17,99371.31
17,2015-01-18,97728.75
18,2015-01-19,116883.14999999998
19,2015-01-20,128968.125
20,2015-01-21,148702.505
21,2015-01-22,153232.1
22,2015-01-23,138095.19999999998
23,2015-01-24,116310.58999999998
24,2015-01-25,97959.46000000004
25,2015-01-26,103769.48000000004
26,2015-01-27,118393.31
27,2015-01-28,116763.72499999998
28,2015-01-29,119313.73
29,2015-01-30,121018.15
30,2015-01-31,103822.97
31,2015-02-01,100178.84
32,2015-02-02,118694.15999999996
33,2015-02-03,122880.13
34,2015-02-04,117398.03000000006
35,2015-02-05,122279.42500000006
36,2015-02-06,141837.005
37,2015-02-07,132138.36500000002
38,2015-02-08,112108.215
39,2015-02-09,126813.07500000006
40,2015-02-10,145948.56499999994
41,2015-02-11,149322.85
42,2015-02-12,131376.78000000006
43,2015-02-13,136070.62
44,2015-02-14,119692.025
45,2015-02-15,125287.70999999998
46,2015-02-16,131832.62999999998
47,2015-02-17,127666.01
48,2015-02-18,125972.765
49,2015-02-19,139399.68999999994
50,2015-02-20,139465.675
51,2015-02-21,136283.03
52,2015-02-22,138016.34999999998
53,2015-02-23,135255.815
54,2015-02-24,120263.51499999994
55,2015-02-25,130062.75499999998
56,2015-02-26,131525.85499999998
57,2015-02-27,131069.4
58,2015-02-28,116275.73
59,2015-03-01,103462.78
60,2015-03-02,123301.835
61,2015-03-03,126750.29
62,2015-03-04,120764.18499999994
63,2015-03-05,114967.345
64,2015-03-06,117053.75
65,2015-03-07,108344.575
66,2015-03-08,106348.78000000004
67,2015-03-09,108282.48
68,2015-03-10,125828.53
69,2015-03-11,124418.41500000002
70,2015-03-12,121683.65000000002
71,2015-03-13,120929.81500000002
72,2015-03-14,108738.82
73,2015-03-15,100170.29500000004
74,2015-03-16,123787.075
75,2015-03-17,125600.86
76,2015-03-18,127975.815
77,2015-03-19,128319.44999999994
78,2015-03-20,119491.32
79,2015-03-21,106754.8
80,2015-03-22,106555.02999999996
81,2015-03-23,122810.05
82,2015-03-24,123234.93499999998
83,2015-03-25,122268.86
84,2015-03-26,121998.2
85,2015-03-27,122346.33499999996
86,2015-03-28,112187.71499999995
87,2015-03-29,106418.665
88,2015-03-30,123061.87
89,2015-03-31,125795.32499999998
90,2015-04-01,122042.265
91,2015-04-02,113838.41000000006
92,2015-04-03,98891.06
93,2015-04-04,103999.17
94,2015-04-05,103685.45000000004
95,2015-04-06,107383.37
96,2015-04-07,120235.505
97,2015-04-08,122129.77499999994
98,2015-04-09,123990.76
99,2015-04-10,121753.115
100,2015-04-11,110034.16500000002
101,2015-04-12,103760.225
102,2015-04-13,125107.78
103,2015-04-14,127793.38
104,2015-04-15,126673.93499999998
105,2015-04-16,126937.94
106,2015-04-17,131031.41500000002
107,2015-04-18,109763.98499999996
108,2015-04-19,107160.54
109,2015-04-20,126696.19
110,2015-04-21,127973.585
111,2015-04-22,128598.49500000002
112,2015-04-23,126483.805
113,2015-04-24,126230.785
114,2015-04-25,111803.625
115,2015-04-26,108217.81999999998
116,2015-04-27,127855.22000000006
117,2015-04-28,132642.14000000007
118,2015-04-29,132814.615
119,2015-04-30,132669.58000000005
120,2015-05-01,126304.445
121,2015-05-02,108487.97500000003
122,2015-05-03,109233.34
123,2015-05-04,122375.47
124,2015-05-05,123734.865
125,2015-05-06,129121.86
126,2015-05-07,131237.185
127,2015-05-08,131138.73
128,2015-05-09,108377.05
129,2015-05-10,103811.27999999998
130,2015-05-11,123740.245
131,2015-05-12,129312.58
132,2015-05-13,136903.26999999993
133,2015-05-14,135217.65
134,2015-05-15,135172.41000000006
135,2015-05-16,117136.63
136,2015-05-17,111897.08500000004
137,2015-05-18,127524.8
138,2015-05-19,133235.47999999998
139,2015-05-20,127522.71
140,2015-05-21,135361.1950000001
141,2015-05-22,133422.45999999993
142,2015-05-23,119331.85
143,2015-05-24,118783.08500000006
144,2015-05-25,136690.92
145,2015-05-26,140886.99499999994
146,2015-05-27,133103.36999999994
147,2015-05-28,127900.235
148,2015-05-29,132338.94
149,2015-05-30,114669.79000000002
150,2015-05-31,113261.26
151,2015-06-01,140919.99500000002
152,2015-06-02,148534.505
153,2015-06-03,146902.94999999998
154,2015-06-04,147155.26500000007
155,2015-06-05,142625.03500000006
156,2015-06-06,120128.29499999998
157,2015-06-07,109609.68500000004
158,2015-06-08,110715.81499999996
159,2015-06-09,132854.13499999998
160,2015-06-10,144125.52500000005
161,2015-06-11,143465.445
162,2015-06-12,145005.62
163,2015-06-13,123754.55
164,2015-06-14,119125.62
165,2015-06-15,136054.145
